Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
P. Michael,NFCDCH-MC-CF2PZHMYURL70M6REGRY6L80NXRWGK,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
P. Michael,VIZVIAM8WP27EHCQICIDEGA,Vizio Vizio M-Series MT5580 Wistron Smart TV,,,,,,,,,
P. Michael,GOOGEAR0010000000000000001161501,Google Chromecast V3 Streaming Stick,,,,,,,,,
P. Michael,NFANDROID1-PRV-P-L3-XIAOMREDMI=NOTE=6=PRO-7283-078A4EDFDA0E5AFF2F415BADD57868D6F96D3418F5B9CCD0B4D350FEF967F5C40,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
P. Michael,NFANDROID1-PRV-P-L3-XIAOMREDMI=NOTE=6=PRO-4445-04C823A70294C033C5526D69264FC35AEDA329D3176D63CC92E842E56B1A2F11D,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
P. Michael,NFCDCH-02-F6T9AX1X14K46D903JM3U512K72VEQ,Chrome PC (Cadmium),,,,,,,,,
P. Michael,NFANDROID1-PRV-P-L3-SAMSUSAMSUNG-SM-G890A-4445-0C3863A14A31A1D12D5B71835BC8309C86CB24A15705D93506C2197ABD4726EAE,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
P. Michael,NFCDCH-02-F3ZDKA2JXLAANED9MU5G0EMC6LTQRQ,Chrome PC (Cadmium),,,,,,,,,
P. Michael,NFCDCH-02-F378LN3MMW05VQGQRWVK231W681DQ5,Chrome PC (Cadmium),,,,,,,,,
P. Michael,NFCDCH-02-EXE0KL9RXT76NNVH9YLEVPMYY4RP0U,Chrome PC (Cadmium),,,,,,,,,
P. Michael,NFCDCH-02-EUN6LZCA2CM76155M6JG2Q05K75J2T,Chrome PC (Cadmium),,,,,,,,,
P. Michael,NFPS3-001-PQK46UPXCZYDN5NN6VX3AW24CD,Sony PS3,,,,,,,,,
P. Michael,GOOGEAR0010000000000000001157030,Google Chromecast V3 Streaming Stick,,,,,,,,,
P. Michael,DISECOJOEY-0001-7945D89935BD527B,DishTV Dish Joey MVPD STB,,,,,,,,,
P. Michael,NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-06F467270BF7ECBF66E3675938C0F202C02AAD2878273130B70F31203AB0BF7D2,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
P. Michael,NFANDROID1-PRV-P-L3-SAMSUSAMSUNG-SM-G890A-4445-A634A330840BED3A67CC7CBBAD2F0E04F46F51B6304BBC11D073D1C5D943B937,Android DefaultWidevineL3Phone Android Phone (samsung_SAMSUNG-SM-G890A),,,,,,,,,
P. Michael,NFANDROID1-PRV-T-L3-SAMSUSAMSUNG-SM-T377A-4445-097B88C80A88A104E3D7B641EFA08CDD79560FC0062BCFBDD4F8BCD562CA3950,Android DefaultWidevineL3Tablet Android Tablet (samsung_SAMSUNG-SM-T377A),,,,,,,,,
P. Michael,NFANDROID1-PRV-P-L3-SAMSUSAMSUNG-SM-G890A-4445-087608D6239F56826A8EAB0CF1DF52AE3C493E12FEBC1C9D02E2C3EDB286DF33,Android DefaultWidevineL3Phone Android Phone (samsung_SAMSUNG-SM-G890A),,,,,,,,,
P. Michael,NFCDCH-MC-D6T7HMJNKU7VQ85KN77NWCAHCJKJ37,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
P. Michael,NFANDROID1-PRV-P-L3-LGE==LG-H820-4445-1F14BA1274FD07A5084F1317F2D95B0BDB57D5B875B34C8B973D8C05A1AC920A,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
P. Michael,NFCDCH-02-D56FLX4V5XY9Q64E2E15HYYTF7ACVC,Chrome PC (Cadmium),,,,,,,,,
