Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Dominic,Murder Mystery (Trailer),Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:06,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3490,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3635,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":5565,""mediaOffsetMs"":84}]"
Dominic,The Reason I Jump_hook_04_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:37:03,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2113,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2345,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4457,""mediaOffsetMs"":64}]"
Dominic,Dreamer_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:36:59,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2459,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2648,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4149,""mediaOffsetMs"":72}]"
Dominic,The Conjuring 2_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:36:56,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2265,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2369,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4191,""mediaOffsetMs"":8}]"
Dominic,Stars in the Sky: A Hunting Story_hook_01_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:36:52,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2563,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2743,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4932,""mediaOffsetMs"":57}]"
Dominic,The Mitchells vs. The Machines - Baseline Clip 1,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:36:50,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2172,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2476,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4900,""mediaOffsetMs"":79}]"
Dominic,Trailer 2: Hustle,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:36:46,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2871,""mediaOffsetMs"":0}]"
Dominic,Teaser 2: Munich - The Edge of War,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:49,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2513,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":56318,""mediaOffsetMs"":53750},{""eventType"":""stopped"",""sessionOffsetMs"":57682,""mediaOffsetMs"":53543}]"
Dominic,Django Unchained_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:46,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2309,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2543,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4065,""mediaOffsetMs"":101}]"
Dominic,The Old Guard (Trailer),Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:41,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2297,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4099,""mediaOffsetMs"":1589},{""eventType"":""stopped"",""sessionOffsetMs"":6367,""mediaOffsetMs"":1622}]"
Dominic,Legend,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:36,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2993,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3770,""mediaOffsetMs"":547},{""eventType"":""stopped"",""sessionOffsetMs"":5205,""mediaOffsetMs"":716}]"
Dominic,Legend_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:34,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3763,""mediaOffsetMs"":0}]"
Dominic,Besser Welt als Nie_hook_04_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:27,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2824,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":6118,""mediaOffsetMs"":2999},{""eventType"":""stopped"",""sessionOffsetMs"":8756,""mediaOffsetMs"":3037}]"
Dominic,Rumble: The Indians Who Rocked the World_hook_05_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:24,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2321,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3141,""mediaOffsetMs"":598},{""eventType"":""stopped"",""sessionOffsetMs"":5412,""mediaOffsetMs"":625}]"
Dominic,How Do You Know_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:19,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2303,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4312,""mediaOffsetMs"":1913},{""eventType"":""stopped"",""sessionOffsetMs"":6718,""mediaOffsetMs"":1920}]"
Dominic,Moment of High Emotion Clip: Schumacher,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:17,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2525,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2739,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4109,""mediaOffsetMs"":157}]"
Dominic,Sorry to Bother You_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:14,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2250,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2901,""mediaOffsetMs"":522},{""eventType"":""stopped"",""sessionOffsetMs"":5256,""mediaOffsetMs"":72}]"
Dominic,The Harder They Fall,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:08,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3333,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":4689,""mediaOffsetMs"":1250},{""eventType"":""stopped"",""sessionOffsetMs"":6068,""mediaOffsetMs"":1265}]"
Dominic,Vice_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:35:02,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2366,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5396,""mediaOffsetMs"":2905},{""eventType"":""stopped"",""sessionOffsetMs"":7777,""mediaOffsetMs"":2935}]"
Dominic,Django Unchained_hook_primary_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:34:59,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2518,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3369,""mediaOffsetMs"":810},{""eventType"":""stopped"",""sessionOffsetMs"":5872,""mediaOffsetMs"":533}]"
Dominic,High Context Clip: The Tinder Swindler,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:34:56,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3351,""mediaOffsetMs"":0}]"
Dominic,The Imitation Game_Autohook_6_16x9,Hisense  MSD6886 6.0 2G UHD Android TV Smart TV,2022-07-02 07:34:52,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2618,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3932,""mediaOffsetMs"":1138},{""eventType"":""stopped"",""sessionOffsetMs"":6373,""mediaOffsetMs"":1223}]"
