Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dominic,tvui,playback,,,2022-06-17 04:47:52
Dominic,tvui,movieDetails,,,2022-06-17 04:47:52
Dominic,tvui,movieDetails,,,2022-06-17 04:39:19
Dominic,tvui,playback,,,2022-06-17 04:39:19
Dominic,tvui,movieDetails,,,2022-06-17 04:39:17
Dominic,tvui,browseTitles,,,2022-06-17 04:39:17
Dominic,tvui,browseTitles,,,2022-06-17 04:38:48
Dominic,tvui,movieDetails,,,2022-06-17 04:38:48
Dominic,tvui,movieDetails,,,2022-06-17 04:38:41
Dominic,tvui,postPlay,,,2022-06-17 04:38:41
Dominic,tvui,playback,,,2022-06-17 04:38:36
Dominic,tvui,postPlay,,,2022-06-17 04:38:36
Dominic,tvui,postPlay,,,2022-06-17 03:56:50
Dominic,tvui,playback,,,2022-06-17 03:56:50
Dominic,tvui,playback,,,2022-06-17 03:56:47
Dominic,tvui,postPlay,,,2022-06-17 03:56:47
Dominic,tvui,movieDetails,,,2022-06-17 03:14:50
Dominic,tvui,playback,,,2022-06-17 03:14:50
Dominic,tvui,browseTitles,,,2022-06-17 03:14:48
Dominic,tvui,movieDetails,,,2022-06-17 03:14:48
Dominic,tvui,browseTitles,,,2022-06-17 03:13:51
Dominic,tvui,profilesGate,,,2022-06-17 03:13:51
Dominic,tvui,movieDetails,,,2022-06-15 06:53:38
Dominic,tvui,profilesGate,,,2022-06-15 06:53:38
Dominic,tvui,playback,,,2022-06-15 06:22:40
Dominic,tvui,movieDetails,,,2022-06-15 06:22:40
Dominic,tvui,playback,,,2022-06-15 06:14:21
Dominic,tvui,postPlay,,,2022-06-15 06:14:21
Dominic,tvui,playback,,,2022-06-15 06:14:15
Dominic,tvui,postPlay,,,2022-06-15 06:14:15
Dominic,tvui,movieDetails,,,2022-06-15 04:37:05
Dominic,tvui,playback,,,2022-06-15 04:37:05
Dominic,tvui,movieDetails,,,2022-06-15 04:37:02
Dominic,tvui,profilesGate,,,2022-06-15 04:37:02
Dominic,tvui,profilesGate,,,2022-06-15 04:37:00
Dominic,tvui,profilesGate,,,2022-06-15 04:15:37
Dominic,tvui,movieDetails,,,2022-06-15 04:15:37
Dominic,tvui,playback,,,2022-06-15 03:45:31
Dominic,tvui,movieDetails,,,2022-06-15 03:45:31
Dominic,tvui,playback,,,2022-06-15 03:15:23
Dominic,tvui,postPlay,,,2022-06-15 03:15:23
Dominic,tvui,playback,,,2022-06-15 03:15:19
Dominic,tvui,postPlay,,,2022-06-15 03:15:19
Dominic,tvui,movieDetails,,,2022-06-15 02:13:56
Dominic,tvui,playback,,,2022-06-15 02:13:56
Dominic,tvui,browseTitles,,,2022-06-15 02:13:55
Dominic,tvui,movieDetails,,,2022-06-15 02:13:55
Dominic,tvui,browseTitles,,,2022-06-15 02:13:46
Dominic,tvui,profilesGate,,,2022-06-15 02:13:46
Dominic,tvui,postPlay,,,2022-06-14 06:49:01
Dominic,tvui,movieDetails,,,2022-06-14 06:49:01
Dominic,tvui,playback,,,2022-06-14 06:49:00
Dominic,tvui,postPlay,,,2022-06-14 06:49:00
Dominic,tvui,movieDetails,,,2022-06-14 04:48:52
Dominic,tvui,playback,,,2022-06-14 04:48:52
Dominic,tvui,browseTitles,,,2022-06-14 04:48:50
Dominic,tvui,movieDetails,,,2022-06-14 04:48:50
Dominic,tvui,profilesGate,,,2022-06-14 04:48:38
Dominic,tvui,browseTitles,,,2022-06-14 04:48:38
